objectid,age,gender
6130be1f4a00cdf42425ba9b,74.0,-1.0
611628e631ee975e584d648d,66.0,1.0
61307372627bfbae31cd1691,61.0,1.0
6130c1944a00cdf42425f96e,48.0,-1.0
611625b631ee975e584d26ee,61.0,1.0
6130c3164a00cdf424261497,36.0,-1.0
6130c1e74a00cdf42425ff57,73.0,-1.0
613073db627bfbae31cd1e5e,61.0,1.0
613fed8bbba4618becada938,79.0,-1.0
613074b0627bfbae31cd2eaf,62.0,1.0
6116286f31ee975e584d5b6c,34.0,-1.0
6116265031ee975e584d3253,63.0,1.0
6194da1e609d25628d41e0f4,64.0,1.0
6130c3d94a00cdf42426231d,75.0,-1.0
6194d814609d25628d41d1c7,62.0,1.0
6130c0414a00cdf42425e173,50.0,1.0
6130740f627bfbae31cd223a,47.0,-1.0
6130c0744a00cdf42425e4de,34.0,-1.0
6130c4154a00cdf424262799,70.0,-1.0
6130be5a4a00cdf42425be9a,84.0,1.0
611628fb31ee975e584d6637,67.0,-1.0
611626d331ee975e584d3c42,33.0,-1.0
6116258d31ee975e584d23ed,73.0,-1.0
6194d5dc609d25628d41c143,80.0,1.0
6130743a627bfbae31cd2589,59.0,1.0
61307335627bfbae31cd120f,50.0,1.0
6130c2624a00cdf42426085a,60.0,1.0
611627e431ee975e584d50f6,56.0,1.0
6130c2134a00cdf42426026b,28.0,-1.0
611626bd31ee975e584d3a65,81.0,-1.0
6116266e31ee975e584d347d,75.0,-1.0
6130c2854a00cdf424260acf,81.0,1.0
6130be284a00cdf42425bb3e,68.0,1.0
6116268b31ee975e584d3684,75.0,-1.0
6116253731ee975e584d1d80,48.0,1.0
6116281a31ee975e584d54ee,43.0,1.0
613072c2627bfbae31cd0944,65.0,-1.0
613fee75bba4618becadb29a,62.0,1.0
611628ea31ee975e584d64dd,46.0,1.0
613074b9627bfbae31cd2f62,26.0,1.0
6130c3af4a00cdf424261fa1,4.0,-1.0
613074a9627bfbae31cd2e27,64.0,1.0
611626b731ee975e584d39f2,63.0,-1.0
6130c3d44a00cdf4242622a6,54.0,-1.0
6116278731ee975e584d49f8,70.0,-1.0
613fede8bba4618becadad0e,49.0,1.0
61307370627bfbae31cd1668,62.0,1.0
6130bde64a00cdf42425b67e,72.0,-1.0
6130bef14a00cdf42425c975,89.0,1.0
6116294931ee975e584d6c6d,73.0,1.0
6130c2a24a00cdf424260ce2,76.0,1.0
61307455627bfbae31cd27b0,34.0,1.0
6194d71e609d25628d41caaf,71.0,1.0
613fed34bba4618becada5b9,74.0,1.0
6130c2004a00cdf424260115,67.0,1.0
6130c04f4a00cdf42425e283,59.0,-1.0
611628d031ee975e584d62e8,63.0,1.0
6116294531ee975e584d6c1b,76.0,-1.0
6116259e31ee975e584d2525,64.0,-1.0
