훈련 로그 시작

Epoch [1/10]

Epoch 1 시작
Batch [177/858], 손실: 0.1420
Batch [178/858], 손실: 0.1352
Batch [179/858], 손실: 0.1306
Batch [180/858], 손실: 0.1204
Batch [181/858], 손실: 0.1598
Batch [182/858], 손실: 0.1180
Batch [183/858], 손실: 0.1475
Batch [184/858], 손실: 0.1447
Batch [185/858], 손실: 0.1558
Batch [186/858], 손실: 0.1536
Batch [187/858], 손실: 0.1500
Batch [188/858], 손실: 0.1354
Batch [189/858], 손실: 0.1502
Batch [190/858], 손실: 0.1416
Batch [191/858], 손실: 0.1572
Batch [192/858], 손실: 0.1345
Batch [193/858], 손실: 0.1312
Batch [194/858], 손실: 0.1462
Batch [195/858], 손실: 0.1508
Batch [196/858], 손실: 0.1538
Batch [197/858], 손실: 0.1441
Batch [198/858], 손실: 0.1319
Batch [199/858], 손실: 0.1409
Batch [200/858], 손실: 0.1659
Batch [201/858], 손실: 0.1309
Batch [202/858], 손실: 0.1276
Batch [203/858], 손실: 0.1262
Batch [204/858], 손실: 0.1336
Batch [205/858], 손실: 0.1372
Batch [206/858], 손실: 0.1388
Batch [207/858], 손실: 0.1224
Batch [208/858], 손실: 0.1331
Batch [209/858], 손실: 0.1582
Batch [210/858], 손실: 0.1502
Batch [211/858], 손실: 0.1330
Batch [212/858], 손실: 0.1312
Batch [213/858], 손실: 0.1373
Batch [214/858], 손실: 0.1305
Batch [215/858], 손실: 0.1335
Batch [216/858], 손실: 0.1551
Batch [217/858], 손실: 0.1182
Batch [218/858], 손실: 0.1106
Batch [219/858], 손실: 0.1145
Batch [220/858], 손실: 0.1226
Batch [221/858], 손실: 0.1284
Batch [222/858], 손실: 0.1660
Batch [223/858], 손실: 0.1353
Batch [224/858], 손실: 0.1326
Batch [225/858], 손실: 0.1380
Batch [226/858], 손실: 0.1262
Batch [227/858], 손실: 0.1037
Batch [228/858], 손실: 0.1402
Batch [229/858], 손실: 0.1262
Batch [230/858], 손실: 0.1365
Batch [231/858], 손실: 0.1279
Batch [232/858], 손실: 0.1039
Batch [233/858], 손실: 0.1235
Batch [234/858], 손실: 0.1245
Batch [235/858], 손실: 0.0940
Batch [236/858], 손실: 0.1377
Batch [237/858], 손실: 0.1281
Batch [238/858], 손실: 0.1496
Batch [239/858], 손실: 0.1294
Batch [240/858], 손실: 0.1440
Batch [241/858], 손실: 0.1688
Batch [242/858], 손실: 0.1562
Batch [243/858], 손실: 0.1383
Batch [244/858], 손실: 0.1231
Batch [245/858], 손실: 0.1009
Batch [246/858], 손실: 0.1541
Batch [247/858], 손실: 0.1548
Batch [248/858], 손실: 0.1158
Batch [249/858], 손실: 0.1348
Batch [250/858], 손실: 0.1437
Batch [251/858], 손실: 0.1277
Batch [252/858], 손실: 0.1369
Batch [253/858], 손실: 0.1399
Batch [254/858], 손실: 0.1403
Batch [255/858], 손실: 0.1298
Batch [256/858], 손실: 0.1226
Batch [257/858], 손실: 0.1306
Batch [258/858], 손실: 0.1293
Batch [259/858], 손실: 0.1370
Batch [260/858], 손실: 0.1388
Batch [261/858], 손실: 0.1371
Batch [262/858], 손실: 0.1422
Batch [263/858], 손실: 0.1409
Batch [264/858], 손실: 0.1378
Batch [265/858], 손실: 0.1042
Batch [266/858], 손실: 0.1201
Batch [267/858], 손실: 0.1195
Batch [268/858], 손실: 0.1175
Batch [269/858], 손실: 0.1434
Batch [270/858], 손실: 0.1115
Batch [271/858], 손실: 0.1225
Batch [272/858], 손실: 0.1219
Batch [273/858], 손실: 0.1391
Batch [274/858], 손실: 0.1304
Batch [275/858], 손실: 0.1347
Batch [276/858], 손실: 0.1189
Batch [277/858], 손실: 0.1336
Batch [278/858], 손실: 0.1172
Batch [279/858], 손실: 0.1246
Batch [280/858], 손실: 0.1351
Batch [281/858], 손실: 0.1354
Batch [282/858], 손실: 0.1476
Batch [283/858], 손실: 0.1252
Batch [284/858], 손실: 0.1091
Batch [285/858], 손실: 0.1339
Batch [286/858], 손실: 0.1437
Batch [287/858], 손실: 0.1338
Batch [288/858], 손실: 0.1240
Batch [289/858], 손실: 0.1355
Batch [290/858], 손실: 0.1322
Batch [291/858], 손실: 0.1249
Batch [292/858], 손실: 0.1223
Batch [293/858], 손실: 0.1219
Batch [294/858], 손실: 0.1428
Batch [295/858], 손실: 0.1237
Batch [296/858], 손실: 0.1265
Batch [297/858], 손실: 0.1117
Batch [298/858], 손실: 0.1137
Batch [299/858], 손실: 0.1472
Batch [300/858], 손실: 0.1001
Batch [301/858], 손실: 0.1396
Batch [302/858], 손실: 0.1300
Batch [303/858], 손실: 0.1137
Batch [304/858], 손실: 0.1081
Batch [305/858], 손실: 0.1376
Batch [306/858], 손실: 0.1100
Batch [307/858], 손실: 0.1328
Batch [308/858], 손실: 0.1081
Batch [309/858], 손실: 0.1225
Batch [310/858], 손실: 0.1390
Batch [311/858], 손실: 0.1127
Batch [312/858], 손실: 0.1216
Batch [313/858], 손실: 0.1262
Batch [314/858], 손실: 0.1505
Batch [315/858], 손실: 0.1319
Batch [316/858], 손실: 0.1186
Batch [317/858], 손실: 0.1253
Batch [318/858], 손실: 0.1233
Batch [319/858], 손실: 0.1194
Batch [320/858], 손실: 0.1041
Batch [321/858], 손실: 0.1254
Batch [322/858], 손실: 0.1374
Batch [323/858], 손실: 0.1260
Batch [324/858], 손실: 0.1298
Batch [325/858], 손실: 0.1292
Batch [326/858], 손실: 0.1344
Batch [327/858], 손실: 0.1179
Batch [328/858], 손실: 0.1264
Batch [329/858], 손실: 0.1307
Batch [330/858], 손실: 0.0992
Batch [331/858], 손실: 0.1399
Batch [332/858], 손실: 0.1035
Batch [333/858], 손실: 0.1314
Batch [334/858], 손실: 0.1208
Batch [335/858], 손실: 0.1231
Batch [336/858], 손실: 0.1269
Batch [337/858], 손실: 0.1026
Batch [338/858], 손실: 0.1210
Batch [339/858], 손실: 0.1254
Batch [340/858], 손실: 0.1386
Batch [341/858], 손실: 0.1318
Batch [342/858], 손실: 0.1333
Batch [343/858], 손실: 0.1185
Batch [344/858], 손실: 0.1095
Batch [345/858], 손실: 0.1070
Batch [346/858], 손실: 0.1257
Batch [347/858], 손실: 0.1081
Batch [348/858], 손실: 0.1440
Batch [349/858], 손실: 0.1464
Batch [350/858], 손실: 0.1101
Batch [351/858], 손실: 0.1279
Batch [352/858], 손실: 0.1353
Batch [353/858], 손실: 0.1386
Batch [354/858], 손실: 0.1356
Batch [355/858], 손실: 0.1218
Batch [356/858], 손실: 0.1379
Batch [357/858], 손실: 0.1344
Batch [358/858], 손실: 0.1109
Batch [359/858], 손실: 0.1170
Batch [360/858], 손실: 0.1005
Batch [361/858], 손실: 0.1382
Batch [362/858], 손실: 0.1226
Batch [363/858], 손실: 0.1177
Batch [364/858], 손실: 0.1207
Batch [365/858], 손실: 0.1240
Batch [366/858], 손실: 0.1270
Batch [367/858], 손실: 0.1111
Batch [368/858], 손실: 0.1442
Batch [369/858], 손실: 0.1225
Batch [370/858], 손실: 0.1330
Batch [371/858], 손실: 0.1098
Batch [372/858], 손실: 0.1285
Batch [373/858], 손실: 0.1024
Batch [374/858], 손실: 0.1136
Batch [375/858], 손실: 0.1103
Batch [376/858], 손실: 0.1310
Batch [377/858], 손실: 0.1195
Batch [378/858], 손실: 0.1060
Batch [379/858], 손실: 0.1224
Batch [380/858], 손실: 0.1048
Batch [381/858], 손실: 0.1499
Batch [382/858], 손실: 0.1309
Batch [383/858], 손실: 0.1351
Batch [384/858], 손실: 0.1276
Batch [385/858], 손실: 0.1087
Batch [386/858], 손실: 0.1286
Batch [387/858], 손실: 0.1320
Batch [388/858], 손실: 0.1074
Batch [389/858], 손실: 0.1045
Batch [390/858], 손실: 0.1170
Batch [391/858], 손실: 0.1239
Batch [392/858], 손실: 0.1163
Batch [393/858], 손실: 0.1390
Batch [394/858], 손실: 0.1450
Batch [395/858], 손실: 0.1165
Batch [396/858], 손실: 0.1392
Batch [397/858], 손실: 0.1162
Batch [398/858], 손실: 0.1081
Batch [399/858], 손실: 0.1117
Batch [400/858], 손실: 0.1420
Batch [401/858], 손실: 0.1034
Batch [402/858], 손실: 0.1216
Batch [403/858], 손실: 0.1304
Batch [404/858], 손실: 0.1315
Batch [405/858], 손실: 0.1017
Batch [406/858], 손실: 0.1404
Batch [407/858], 손실: 0.1226
Batch [408/858], 손실: 0.1026
Batch [409/858], 손실: 0.1097
Batch [410/858], 손실: 0.1166
Batch [411/858], 손실: 0.1092
Batch [412/858], 손실: 0.1070
Batch [413/858], 손실: 0.1178
Batch [414/858], 손실: 0.1217
Batch [415/858], 손실: 0.1510
Batch [416/858], 손실: 0.1192
Batch [417/858], 손실: 0.1272
Batch [418/858], 손실: 0.1055
Batch [419/858], 손실: 0.1249
Batch [420/858], 손실: 0.1072
Batch [421/858], 손실: 0.1124
Batch [422/858], 손실: 0.1361
Batch [423/858], 손실: 0.1255
Batch [424/858], 손실: 0.1424
Batch [425/858], 손실: 0.1221
Batch [426/858], 손실: 0.1081
Batch [427/858], 손실: 0.1319
Batch [428/858], 손실: 0.1100
Batch [429/858], 손실: 0.1207
Batch [430/858], 손실: 0.0854
Batch [431/858], 손실: 0.1190
Batch [432/858], 손실: 0.1223
Batch [433/858], 손실: 0.1143
Batch [434/858], 손실: 0.1001
Batch [435/858], 손실: 0.1284
Batch [436/858], 손실: 0.1147
Batch [437/858], 손실: 0.1022
Batch [438/858], 손실: 0.1272
Batch [439/858], 손실: 0.1160
Batch [440/858], 손실: 0.1017
Batch [441/858], 손실: 0.1301
Batch [442/858], 손실: 0.1232
Batch [443/858], 손실: 0.1091
Batch [444/858], 손실: 0.1501
Batch [445/858], 손실: 0.1048
Batch [446/858], 손실: 0.1279
Batch [447/858], 손실: 0.1064
Batch [448/858], 손실: 0.1243
Batch [449/858], 손실: 0.1153
Batch [450/858], 손실: 0.1283
Batch [451/858], 손실: 0.1315
Batch [452/858], 손실: 0.1038
Batch [453/858], 손실: 0.1267
Batch [454/858], 손실: 0.0825
Batch [455/858], 손실: 0.1083
Batch [456/858], 손실: 0.1285
Batch [457/858], 손실: 0.1188
Batch [458/858], 손실: 0.1467
