훈련 로그 시작

Epoch [1/10]

Epoch 1 시작
Batch [177/858], 손실: 0.1267
Batch [178/858], 손실: 0.1342
Batch [179/858], 손실: 0.1577
Batch [180/858], 손실: 0.1273
Batch [181/858], 손실: 0.1320
Batch [182/858], 손실: 0.1285
Batch [183/858], 손실: 0.1471
Batch [184/858], 손실: 0.1500
Batch [185/858], 손실: 0.1156
Batch [186/858], 손실: 0.1227
Batch [187/858], 손실: 0.1458
Batch [188/858], 손실: 0.1550
Batch [189/858], 손실: 0.1361
Batch [190/858], 손실: 0.1511
Batch [191/858], 손실: 0.1633
Batch [192/858], 손실: 0.1415
Batch [193/858], 손실: 0.1565
Batch [194/858], 손실: 0.1229
Batch [195/858], 손실: 0.1221
Batch [196/858], 손실: 0.1437
Batch [197/858], 손실: 0.1468
Batch [198/858], 손실: 0.1316
Batch [199/858], 손실: 0.1179
Batch [200/858], 손실: 0.1274
Batch [201/858], 손실: 0.1364
Batch [202/858], 손실: 0.1437
Batch [203/858], 손실: 0.1530
Batch [204/858], 손실: 0.1356
Batch [205/858], 손실: 0.1274
Batch [206/858], 손실: 0.1692
Batch [207/858], 손실: 0.1312
Batch [208/858], 손실: 0.1476
Batch [209/858], 손실: 0.1358
Batch [210/858], 손실: 0.1246
Batch [211/858], 손실: 0.1289
Batch [212/858], 손실: 0.1434
Batch [213/858], 손실: 0.1648
Batch [214/858], 손실: 0.1223
Batch [215/858], 손실: 0.1467
Batch [216/858], 손실: 0.1267
Batch [217/858], 손실: 0.1372
Batch [218/858], 손실: 0.1213
Batch [219/858], 손실: 0.1268
Batch [220/858], 손실: 0.1219
Batch [221/858], 손실: 0.1445
Batch [222/858], 손실: 0.1417
Batch [223/858], 손실: 0.1274
Batch [224/858], 손실: 0.1629
Batch [225/858], 손실: 0.1333
Batch [226/858], 손실: 0.1465
Batch [227/858], 손실: 0.1488
Batch [228/858], 손실: 0.1277
Batch [229/858], 손실: 0.1243
Batch [230/858], 손실: 0.1342
Batch [231/858], 손실: 0.1539
Batch [232/858], 손실: 0.1452
Batch [233/858], 손실: 0.1397
Batch [234/858], 손실: 0.1190
Batch [235/858], 손실: 0.1306
Batch [236/858], 손실: 0.1207
Batch [237/858], 손실: 0.1314
Batch [238/858], 손실: 0.1301
Batch [239/858], 손실: 0.1418
Batch [240/858], 손실: 0.1540
Batch [241/858], 손실: 0.1317
Batch [242/858], 손실: 0.1392
Batch [243/858], 손실: 0.1363
Batch [244/858], 손실: 0.1276
Batch [245/858], 손실: 0.1174
Batch [246/858], 손실: 0.1653
Batch [247/858], 손실: 0.1302
Batch [248/858], 손실: 0.1245
Batch [249/858], 손실: 0.1290
Batch [250/858], 손실: 0.1359
Batch [251/858], 손실: 0.1368
Batch [252/858], 손실: 0.1237
Batch [253/858], 손실: 0.1304
Batch [254/858], 손실: 0.1230
Batch [255/858], 손실: 0.1281
Batch [256/858], 손실: 0.1274
Batch [257/858], 손실: 0.1449
Batch [258/858], 손실: 0.1304
Batch [259/858], 손실: 0.1327
Batch [260/858], 손실: 0.1229
Batch [261/858], 손실: 0.1326
Batch [262/858], 손실: 0.1027
Batch [263/858], 손실: 0.1427
Batch [264/858], 손실: 0.1233
Batch [265/858], 손실: 0.1457
Batch [266/858], 손실: 0.1226
Batch [267/858], 손실: 0.1092
Batch [268/858], 손실: 0.1548
Batch [269/858], 손실: 0.1237
Batch [270/858], 손실: 0.1202
Batch [271/858], 손실: 0.1135
Batch [272/858], 손실: 0.1450
Batch [273/858], 손실: 0.1368
Batch [274/858], 손실: 0.1228
Batch [275/858], 손실: 0.1117
Batch [276/858], 손실: 0.1449
Batch [277/858], 손실: 0.1224
Batch [278/858], 손실: 0.1331
Batch [279/858], 손실: 0.1328
Batch [280/858], 손실: 0.1368
Batch [281/858], 손실: 0.1408
Batch [282/858], 손실: 0.1288
Batch [283/858], 손실: 0.1380
Batch [284/858], 손실: 0.1197
Batch [285/858], 손실: 0.1033
Batch [286/858], 손실: 0.1285
Batch [287/858], 손실: 0.1370
Batch [288/858], 손실: 0.1147
Batch [289/858], 손실: 0.1053
Batch [290/858], 손실: 0.1163
Batch [291/858], 손실: 0.1397
Batch [292/858], 손실: 0.1236
Batch [293/858], 손실: 0.1119
Batch [294/858], 손실: 0.1076
Batch [295/858], 손실: 0.1223
Batch [296/858], 손실: 0.1266
Batch [297/858], 손실: 0.1461
Batch [298/858], 손실: 0.1233
Batch [299/858], 손실: 0.1317
Batch [300/858], 손실: 0.1215
Batch [301/858], 손실: 0.1105
Batch [302/858], 손실: 0.1166
Batch [303/858], 손실: 0.1252
Batch [304/858], 손실: 0.1253
Batch [305/858], 손실: 0.1400
Batch [306/858], 손실: 0.1187
Batch [307/858], 손실: 0.1430
Batch [308/858], 손실: 0.1066
Batch [309/858], 손실: 0.1244
Batch [310/858], 손실: 0.1603
Batch [311/858], 손실: 0.1245
Batch [312/858], 손실: 0.1347
Batch [313/858], 손실: 0.1153
Batch [314/858], 손실: 0.1350
Batch [315/858], 손실: 0.1188
Batch [316/858], 손실: 0.1409
Batch [317/858], 손실: 0.1325
Batch [318/858], 손실: 0.1358
